X,Y,RockTypes,id
-76.13991596,3.936278103,Felsic,3
-76.1239102,3.9340825,Felsic,3
-76.11410667,3.937076503,Felsic,3
-76.14911927,3.937675302,Felsic,3
-76.15852265,3.9386733,Felsic,3
-76.16432474,3.943064477,Felsic,3
-76.24735463,3.920309947,Felsic,3
-76.24555398,3.929491674,Felsic,3
-76.24075225,3.924900823,Felsic,3
-76.23194908,3.93029008,Felsic,3
-76.23935175,3.934681301,Felsic,3
-76.24435355,3.94106849,Felsic,3
-76.2375511,3.947655228,Felsic,3
-76.23274937,3.940469693,Felsic,3
-76.22374613,3.937675302,Felsic,3
-76.22834779,3.954441509,Felsic,3
-76.22454642,3.946856838,Felsic,3
-76.21494296,3.944661263,Felsic,3
-76.21994476,3.958433413,Felsic,3
-76.21294224,3.953243934,Felsic,3
-76.2089408,3.962225704,Felsic,3
-76.1989372,3.966816348,Felsic,3
-76.19613619,3.974800018,Felsic,3
-76.19013403,3.965020012,Felsic,3
-76.18373173,3.964221639,Felsic,3
-76.18993396,3.980588129,Felsic,3
-76.18773317,3.97320329,Felsic,3
-76.17772957,3.972005742,Felsic,3
-76.16352445,3.955040295,Felsic,3
-76.14751869,3.950649182,Felsic,3
-76.13151293,3.946856838,Felsic,3
-76.1167076,3.951846761,Felsic,3
-76.10070184,3.953044338,Felsic,3
-76.09289903,3.948254019,Felsic,3
-76.08889759,3.958034223,Felsic,3
-76.11270616,3.964421233,Felsic,3
-76.12451041,3.959231791,Felsic,3
-76.1403161,3.961826516,Felsic,3
-76.15512143,3.963622859,Felsic,3
-76.16432474,3.972804108,Felsic,3
-76.14311711,3.976596332,Felsic,3
-76.13151293,3.986974964,Felsic,3
-76.15352085,3.98737414,Felsic,3
-76.17072705,3.986974964,Felsic,3
-76.16512503,4.001345161,Felsic,3
-76.14591812,3.999349315,Felsic,3
-76.13071264,4.004538504,Felsic,3
-76.12791164,4.017710911,Felsic,3
-76.14011603,4.01292097,Felsic,3
-76.16272417,4.015914687,Felsic,3
-76.15252049,4.023299141,Felsic,3
-76.13831538,4.028089022,Felsic,3
